Season,Player,Team,Games Played,Minutes per Game,Age,Games Started,Minutes per Game,Player Per Game Field Goals Made,Player Per Game Field Goals Attempted,Player Per Game Field Goal Percentage,Player Per Game 3 Pointers Made,Player Per Game 3 Pointers Attempted,Player Per Game Two Pointers Made,Player Per Game Two Pointers Attempted,Player Per Game Two Pointers Percentage,Player Per Game Effective Field Goal Percentage,Player Per Game Free Throws Made,Player Per Game Free Throws Attempted,Player Per Game Free Throw Percentage,Player Per Game Offensive Rebounds,Player Per Game Defensive Rebounds,Player Per Game Total Rebounds,Player Per Game Assists,Player Per Game Steals,Player Per Game Blocks,Player Per Game Turnovers,Player Per Game Personal Fouls,Player Per Game Points Per Game,Player Per Game 3 Pointers Percentage,Position
2001,Randy Brown,Boston,54,22.9,32,35,22.9,1.9,4.4,.422,0.0,0.1,1.9,4.3,.427,.422,0.4,0.7,.575,0.4,1.4,1.8,2.9,1.1,0.2,1.0,2.4,4.1,.000,PG
2001,Derek Strong,LA,28,17.5,32,8,17.5,1.6,4.2,.385,0.0,0.0,1.6,4.1,.388,.385,1.0,1.3,.757,1.2,2.6,3.9,0.3,0.5,0.0,0.8,1.1,4.2,.000,PF
2001,Michael Curry,Detroit,68,21.8,32,58,21.8,2.1,4.7,.455,0.1,0.1,2.1,4.6,.455,.461,0.9,1.1,.849,0.3,1.5,1.8,1.9,0.4,0.0,0.9,2.5,5.2,.444,SG
2001,Eric Williams,Boston,81,21.5,28,11,21.5,2.0,5.5,.362,0.6,1.7,1.4,3.8,.375,.413,2.0,2.9,.714,0.8,1.8,2.6,1.4,0.8,0.2,0.9,2.2,6.6,.331,SF
2001,Marcus Fizer,Chicago,72,21.9,22,13,21.9,3.9,9.0,.430,0.1,0.5,3.7,8.4,.442,.438,1.6,2.2,.727,1.1,3.3,4.3,1.1,0.4,0.3,1.7,2.4,9.5,.256,PF
2001,Kenny Thomas,Houston,74,24.6,23,21,24.6,2.8,6.3,.443,0.3,1.2,2.4,5.0,.485,.470,1.2,1.7,.722,1.6,4.0,5.6,1.0,0.5,0.6,1.6,2.4,7.1,.272,PF
2001,Muggsy Bogues,Toronto,3,11.3,36,0,11.3,0.0,0.7,.000,0.0,0.3,0.0,0.3,.000,.000,0.0,0.0,,0.0,1.0,1.0,1.7,0.7,0.0,1.3,1.0,0.0,.000,PG
2001,Rodney Rogers,Phoenix,82,26.6,29,3,26.6,4.6,10.7,.430,0.7,2.3,3.9,8.4,.467,.462,2.3,3.0,.761,1.1,3.2,4.4,2.2,1.2,0.6,1.9,3.3,12.2,.296,SF
2001,Jamal Crawford,Chicago,61,17.2,20,8,17.2,1.8,5.0,.352,0.7,1.9,1.1,3.1,.353,.419,0.4,0.6,.794,0.1,1.3,1.5,2.3,0.7,0.2,1.4,1.1,4.6,.350,PG
2001,Vonteego Cummings,Golden State,66,22.7,24,11,22.7,2.7,7.8,.344,0.7,2.2,2.0,5.7,.348,.391,1.2,1.8,.681,0.7,1.4,2.1,3.4,1.0,0.2,1.4,2.4,7.3,.336,PG
2001,Steve Smith,Portland,81,31.4,31,36,31.4,4.4,9.7,.456,1.0,2.8,3.5,6.9,.504,.505,3.8,4.3,.890,1.1,2.3,3.4,2.6,0.6,0.3,1.7,2.5,13.6,.339,SG
2001,Allen Iverson,Philadelphia,71,42.0,25,71,42.0,10.7,25.5,.420,1.4,4.3,9.4,21.2,.441,.447,8.2,10.1,.814,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1,.320,SG
2001,Roshown McLeod,Philadelphia,1,15.0,25,0,15.0,1.0,2.0,.500,0.0,1.0,1.0,1.0,1.000,.500,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,.000,SF
2001,Al Harrington,Indiana,78,24.3,20,38,24.3,3.1,7.0,.444,0.0,0.1,3.1,6.9,.448,.445,1.3,2.0,.656,1.5,3.4,4.9,1.7,0.8,0.2,1.9,2.9,7.5,.143,PF
2001,Anthony Mason,Miami,80,40.7,34,80,40.7,5.8,11.9,.482,0.0,0.0,5.8,11.9,.482,.482,4.6,5.9,.781,2.1,7.5,9.6,3.1,1.0,0.3,2.2,2.9,16.1,,PF
2001,Zydrunas Ilgauskas,Cleveland,24,25.7,25,24,25.7,4.8,9.8,.487,0.0,0.1,4.8,9.7,.491,.487,2.2,3.3,.679,2.7,4.0,6.7,0.8,0.6,1.5,2.5,3.3,11.7,.000,C
