Season,Team,Points Per Game,Opponent Points Per Game,Point Differential,Own FG%,Opponent FG%,Own 3p%,Opponent 3p%,FT%,Offensive Rebounds,Defensive Rebounds,Rebounding %,Own Turnovers,Opponent Turnovers,Offensive adjusted field goal %,Offensive ppg,Offensive FGM,Offensive FGA,Offensive 3pm,Offensive 3pa,Offensive FTA,Offensive FTM,Offensive PPS,Opponent adjusted field goal %,Opponent ppg,Opponent FGM,Opponent FGA,Opponent 3pm,Opponent 3pa,Opponent FTA,Opponent FTM,Opponent PPS,Opponent APG,Team APG,Team SPG,Opponent SPG,Team BPG,Opponent BPG,Team TPG,Opponent TPG,Team ATO,Team Techs
2009,Brooklyn,98.1,100.5,-2.4,.448,.462,.376,.391,.779,.252,.735,.490,13.1,13.5,.497,98.1,35.7,79.7,8.0,21.2,24.1,18.8,1.23,.509,100.5,36.0,77.9,7.3,18.7,27.8,21.2,1.29,21.9,20.0,6.8,6.9,4.8,4.8,13.1,13.5,1.52,56
2009,New York,105.2,107.8,-2.6,.445,.480,.360,.351,.784,.244,.727,.478,14.3,14.5,.503,105.2,38.5,86.5,10.0,27.9,23.2,18.2,1.22,.520,107.8,41.2,85.9,7.0,19.8,24.4,18.5,1.26,21.6,21.2,7.4,8.0,2.5,5.3,14.3,14.5,1.48,63
2009,Atlanta,98.1,96.5,+1.6,.458,.454,.366,.353,.737,.260,.716,.489,12.8,13.7,.504,98.1,36.0,78.7,7.3,19.9,25.4,18.7,1.25,.494,96.5,36.6,80.6,6.4,18.2,22.0,16.9,1.20,20.8,20.2,7.4,6.5,4.6,4.3,12.8,13.7,1.58,58
2009,Memphis,93.9,99.3,-5.4,.454,.473,.360,.355,.756,.258,.735,.493,15.3,14.6,.486,93.9,34.9,77.0,4.9,13.5,25.3,19.1,1.22,.515,99.3,36.8,77.8,6.5,18.4,24.9,19.2,1.28,21.2,17.4,7.5,7.7,4.7,5.4,15.3,14.6,1.14,48
2009,San Antonio,97.0,93.3,+3.7,.466,.453,.386,.379,.761,.221,.780,.504,11.7,11.7,.513,97.0,37.1,79.7,7.6,19.8,20.0,15.2,1.22,.487,93.3,36.3,80.1,5.5,14.4,19.9,15.3,1.16,18.1,21.2,5.8,6.5,4.0,4.3,11.7,11.7,1.80,31
2009,Toronto,99.0,101.9,-2.9,.458,.465,.372,.367,.824,.240,.737,.491,13.4,13.3,.494,99.0,37.2,81.4,5.8,15.7,22.7,18.7,1.22,.511,101.9,38.7,83.3,7.7,20.9,21.5,16.8,1.22,23.0,22.4,6.4,6.4,4.8,4.7,13.4,13.3,1.67,66
2009,LA Lakers,106.9,99.3,+7.6,.474,.447,.361,.345,.770,.294,.730,.514,13.5,15.5,.513,106.9,40.3,85.1,6.7,18.5,25.5,19.6,1.26,.490,99.3,37.2,83.2,7.1,20.7,23.5,17.7,1.19,22.6,23.3,8.8,7.7,5.1,4.8,13.5,15.5,1.73,75
2009,Charlotte,93.6,94.9,-1.3,.455,.454,.366,.366,.740,.277,.730,.505,15.6,14.7,.494,93.6,35.0,76.8,6.0,16.3,24.0,17.7,1.22,.498,94.9,35.2,77.4,6.8,18.6,23.5,17.8,1.23,19.6,21.2,7.1,7.6,4.8,6.0,15.6,14.7,1.36,53
2009,Miami,98.3,98.0,+0.3,.457,.455,.357,.389,.754,.246,.729,.486,12.5,15.2,.500,98.3,37.0,81.0,7.1,19.9,22.8,17.2,1.21,.501,98.0,35.6,78.2,7.2,18.5,25.4,19.6,1.25,20.1,20.4,7.9,6.4,5.5,4.1,12.5,15.2,1.63,78
2009,LA Clippers,95.1,103.9,-8.8,.441,.473,.354,.375,.736,.251,.712,.475,14.9,13.3,.481,95.1,36.0,81.7,6.5,18.5,22.4,16.5,1.16,.512,103.9,39.2,83.0,6.5,17.5,24.8,18.9,1.25,23.8,21.0,7.0,8.0,5.9,5.0,14.9,13.3,1.41,58
