Player,Season,Age,Team,Points,Rebounds,Assists,Mins,FTA,Blocks,Fouls,3p%,FGA,2p%,ft%,Steals,Turnovers,Games,Games Started,FGM,3pa,3pm,ftm,orb,drb,FG%,EFG%,TS%
Jordan Chatman,[],,,4.7,1.4,0.8,14.4,0.6,0.2,1.2,0.406,3.9,0.6,0.829,0.3,0.8,,,1.6,2.5,1.0,0.5,,,0.404,,
Rodney Chatman,[],,,4.9,1.9,2.1,19.0,2.1,0.0,2.3,0.263,4.3,1.4,0.682,0.7,2.2,,,1.6,0.9,0.2,1.4,,,0.378,,
Joe Chealey,[],,,11.6,2.9,2.8,29.0,4.5,0.2,2.6,0.328,8.9,2.5,0.77,0.9,2.0,,,3.5,3.3,1.1,3.5,,,0.396,,
Haanif Cheatham,[],,,11.4,3.8,2.5,29.6,3.7,0.1,1.9,0.364,8.1,3.1,0.801,1.0,2.2,,,3.9,2.0,0.7,3.0,,,0.475,,
Kwan Cheatham,[],,,7.5,4.8,1.4,21.5,1.4,0.9,2.2,0.359,6.6,1.3,0.714,0.3,1.4,,,2.6,3.7,1.3,1.0,,,0.386,,
Zylan Cheatham,[],,,8.7,5.8,1.2,22.7,4.1,0.6,2.4,0.185,5.2,2.7,0.736,0.8,2.0,,,2.8,0.5,0.1,3.0,,,0.537,,
A.J. Cheeseman,[],,,1.3,0.9,0.4,5.8,0.6,0.2,1.2,0.0,1.0,0.5,0.556,0.1,0.5,,,0.5,0.0,0.0,0.3,,,0.5,,
Ray Chen,[],,,2.5,1.1,0.7,9.1,1.1,0.0,0.9,0.438,1.3,0.3,0.885,0.3,0.6,,,0.6,0.7,0.3,1.0,,,0.483,,
Bernard Cherestal,[],,,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,
Myles Cherry,[],,,3.4,4.2,0.7,17.5,1.3,0.6,1.9,0.0,2.7,1.4,0.464,0.6,1.0,,,1.4,0.0,0.0,0.6,,,0.509,,
Emmanuel Chibuogwu,[],,,4.1,2.7,1.0,19.0,1.3,0.2,1.9,0.297,3.5,1.1,0.591,0.5,1.1,,,1.5,1.3,0.4,0.8,,,0.418,,
