Class,Conference,DPS,Minutes,OPA,Player Code,Player,School,TPA
SO,SEC,-0.57,5,-1.64,"Mark French, Texas A&M",Mark French,Texas A&M,-2.21
JR,MWC,1.37,78,-3.84,"Montaque Gill-Caesar, San Diego State",Montaque Gill-Caesar,San Diego State,-2.47
SO,SWAC,-0.39,43,-5.77,"Divonte Lumpkin, Texas Southern",Divonte Lumpkin,Texas Southern,-6.16
FR,Big 12,0.78,19,0.91,"Parker Hicks, Texas Tech",Parker Hicks,Texas Tech,1.69
FR,Patriot,-0.19,34,-6.11,"Jordan Sechan, Bucknell",Jordan Sechan,Bucknell,-6.3
SO,Big Sky,34.26,752,-40.85,"Sayeed Pridgett, Montana",Sayeed Pridgett,Montana,-6.59
FR,Sun Belt,1.83,357,-8.55,"Kane Williams, Georgia State",Kane Williams,Georgia State,-6.72
SR,Big Ten,4.32,220,-11.17,"Jaaron Simmons, Michigan",Jaaron Simmons,Michigan,-6.85
FR,Big West,1.57,69,-8.44,"Johnny Wang, Cal State Fullerton",Johnny Wang,Cal State Fullerton,-6.87
JR,Summit,-3.73,35,-3.16,"Dallas Polk-Hilliard, South Dakota State",Dallas Polk-Hilliard,South Dakota State,-6.89
SR,Southern,5.3,167,-12.27,"Justin Jordan, North Carolina-Greensboro",Justin Jordan,North Carolina-Greensboro,-6.97
SR,Big 12,-0.7,6,-1.14,"Ryan McClurg, Texas",Ryan McClurg,Texas,-1.84
SO,Summit,-2.05,14,-4.93,"Beau Brown, South Dakota State",Beau Brown,South Dakota State,-6.98
JR,Patriot,-2.54,350,-4.45,"Nate Jones, Bucknell",Nate Jones,Bucknell,-6.99
JR,SEC,0.21,4,-1.7,"Jonny David, Kentucky",Jonny David,Kentucky,-1.49
JR,MAAC,-1.33,31,-5.77,"Tyrell Williams, Iona",Tyrell Williams,Iona,-7.1
SR,AAC,11.13,579,21.25,"Darral Willis Jr., Wichita State",Darral Willis Jr.,Wichita State,32.38
,Patriot,-3.73,137,-3.73,"Matt O'Reilly, Bucknell",Matt O'Reilly,Bucknell,-7.46
JR,MEAC,3.61,140,-11.08,"Marius McAllister, North Carolina Central",Marius McAllister,North Carolina Central,-7.47
SO,Big 12,2.09,24,-1.11,"Andrew Sorrells, Texas Tech",Andrew Sorrells,Texas Tech,0.98
FR,Big 12,-3.25,50,-4.33,"Nigel Shadd, Kansas State",Nigel Shadd,Kansas State,-7.58
FR,Big West,-1.61,84,-6.17,"Josh Pitts, Cal State Fullerton",Josh Pitts,Cal State Fullerton,-7.78
FR,SEC,0.31,5,-0.23,"Jacob Fleschman, Tennessee",Jacob Fleschman,Tennessee,0.08
,AAC,1.39,399,16.04,"Markis McDuffie, Wichita State",Markis McDuffie,Wichita State,17.43
SR,MAAC,12.78,793,-21.29,"Tarekeyi Edogi, Iona",Tarekeyi Edogi,Iona,-8.51
FR,Big 12,3.33,286,-11.9,"Levi Stockard III, Kansas State",Levi Stockard III,Kansas State,-8.57
FR,Big Sky,-0.96,548,-7.68,"Timmy Falls, Montana",Timmy Falls,Montana,-8.64
SO,SEC,-0.49,28,-2.84,"Brad Calipari, Kentucky",Brad Calipari,Kentucky,-3.33
SO,Patriot,-0.75,206,-8.23,"Ben Robertson, Bucknell",Ben Robertson,Bucknell,-8.98
JR,Ivy,18.23,863,-27.34,"Antonio Woods, Pennsylvania",Antonio Woods,Pennsylvania,-9.11
JR,MEAC,-3.07,21,-6.07,"Alex Mills, North Carolina Central",Alex Mills,North Carolina Central,-9.14
JR,SEC,-0.23,6,-1.06,"Brad Woodson, Tennessee",Brad Woodson,Tennessee,-1.29
SO,Big Sky,-2.75,56,-6.97,"Trevor Spoja, Montana",Trevor Spoja,Montana,-9.72
JR,ACC,-1.39,7,-4.07,"Justin Ammerman, Virginia Tech",Justin Ammerman,Virginia Tech,-5.46
SR,WAC,-1.59,151,-8.47,"Joe Garza, New Mexico State",Joe Garza,New Mexico State,-10.06
JR,MEAC,-16.86,980,6.74,"Raasean Davis, North Carolina Central",Raasean Davis,North Carolina Central,-10.12
FR,Patriot,-5.21,169,-4.91,"John Meeks, Bucknell",John Meeks,Bucknell,-10.12
SO,AAC,6.21,127,0.89,"C.J. Keyser, Wichita State",C.J. Keyser,Wichita State,7.1
FR,Sun Belt,-4.06,24,-6.24,"Denis Alibegovic, Georgia State",Denis Alibegovic,Georgia State,-10.3
,MAAC,-8.08,141,-2.27,"C.J. Seaforth, Iona",C.J. Seaforth,Iona,-10.35
FR,Ivy,-2.29,100,-8.1,"Eddie Scott, Pennsylvania",Eddie Scott,Pennsylvania,-10.39
SR,Big 12,-0.82,5,-1.15,"Joe Schwartz, Texas",Joe Schwartz,Texas,-1.97
JR,Big South,-2.3,56,-8.13,"Tristan Owens, Radford",Tristan Owens,Radford,-10.43
SO,Big South,3.13,662,-13.58,"Travis Fields, Radford",Travis Fields,Radford,-10.45
FR,SEC,1.2,339,-7.19,"Jay Jay Chandler, Texas A&M",Jay Jay Chandler,Texas A&M,-5.99
SO,ACC,-0.46,137,-10.13,"Scott Spencer, Clemson",Scott Spencer,Clemson,-10.59
SO,A-10,-0.58,24,-1.79,"Eric Dadika, Rhode Island",Eric Dadika,Rhode Island,-2.37
FR,Big 12,1.2,90,-12.19,"Royce Hamm Jr., Texas",Royce Hamm Jr.,Texas,-10.99
FR,Big West,-4.52,136,-6.65,"Daniel Venzant, Cal State Fullerton",Daniel Venzant,Cal State Fullerton,-11.17
SO,AAC,-0.88,14,1.88,"Brett Barney, Wichita State",Brett Barney,Wichita State,1
,SWAC,-2.28,105,-9.52,"Kevin Granger, Texas Southern",Kevin Granger,Texas Southern,-11.8
FR,AAC,-0.11,8,0.73,"Jacob Herrs, Wichita State",Jacob Herrs,Wichita State,0.62
SR,Big 12,-5.78,411,-6.5,"Ahmed Hamdy Mohamed, Texas Christian",Ahmed Hamdy Mohamed,Texas Christian,-12.28
FR,AAC,-0.47,9,-0.25,"Brycen Bush, Wichita State",Brycen Bush,Wichita State,-0.72
JR,Ivy,-8.31,236,-4.57,"Jackson Donahue, Pennsylvania",Jackson Donahue,Pennsylvania,-12.88
SR,SWAC,-7.99,232,-5.05,"Kevin Scott, Texas Southern",Kevin Scott,Texas Southern,-13.04
JR,A-10,-0.12,17,-3.12,"Ndene Gueye, St. Bonaventure",Ndene Gueye,St. Bonaventure,-3.24
FR,Big South,-2.71,245,-10.44,"Leroy Butts IV, Radford",Leroy Butts IV,Radford,-13.15
SR,A-Sun,-1.89,492,-12.31,"Aaron Korn, Lipscomb",Aaron Korn,Lipscomb,-14.2
FR,CAA,-1,76,-13.36,"Samba Ndiaye, College of Charleston",Samba Ndiaye,College of Charleston,-14.36
FR,MAAC,-0.18,103,-14.2,"Gavin Kensmil, Iona",Gavin Kensmil,Iona,-14.38
SR,CAA,-9.73,237,-4.67,"Evan Bailey, College of Charleston",Evan Bailey,College of Charleston,-14.4
FR,Sun Belt,-1.69,110,-12.79,"Josh Linder, Georgia State",Josh Linder,Georgia State,-14.48
FR,Big Sky,4.02,287,-18.61,"Karl Nicholas, Montana",Karl Nicholas,Montana,-14.59
SO,Big West,-5.2,119,-9.57,"Dwight Ramos, Cal State Fullerton",Dwight Ramos,Cal State Fullerton,-14.77
JR,Patriot,-16.58,609,1.11,"Kimbal MacKenzie, Bucknell",Kimbal MacKenzie,Bucknell,-15.47
SO,MEAC,-9.36,259,-6.68,"John Guerra, North Carolina Central",John Guerra,North Carolina Central,-16.04
SO,CAA,-1.63,497,-14.69,"Jaylen McManus, College of Charleston",Jaylen McManus,College of Charleston,-16.32
SO,A-10,4.71,454,-21.21,"Amadi Ikpeze, St. Bonaventure",Amadi Ikpeze,St. Bonaventure,-16.5
SO,Southern,1.85,370,-18.54,"Malik Massey, North Carolina-Greensboro",Malik Massey,North Carolina-Greensboro,-16.69
JR,Big West,-15.22,968,-1.69,"Khalil Ahmad, Cal State Fullerton",Khalil Ahmad,Cal State Fullerton,-16.91
SO,Ivy,4.6,327,-21.87,"Devon Goodman, Pennsylvania",Devon Goodman,Pennsylvania,-17.27
JR,MAAC,2.71,757,-20.33,"Roland Griffin, Iona",Roland Griffin,Iona,-17.62
SO,Big West,17.74,846,-35.48,"Austen Awosika, Cal State Fullerton",Austen Awosika,Cal State Fullerton,-17.74
JR,AAC,-6.89,263,4.14,"Samajae Haynes-Jones, Wichita State",Samajae Haynes-Jones,Wichita State,-2.75
FR,AAC,0.26,49,-5.22,"Asbjorn Midtgaard, Wichita State",Asbjorn Midtgaard,Wichita State,-4.96
JR,Big West,0.51,294,-21.06,"Dominik Heinzl, Cal State Fullerton",Dominik Heinzl,Cal State Fullerton,-20.55
SO,Big West,7.37,703,-28.26,"Jamal Smith, Cal State Fullerton",Jamal Smith,Cal State Fullerton,-20.89
FR,Pac-12,3.01,421,-24.08,"Chris Smith, UCLA",Chris Smith,UCLA,-21.07
JR,MEAC,-1.4,406,-20.25,"Zacarry Douglas, North Carolina Central",Zacarry Douglas,North Carolina Central,-21.65
SO,WAC,16.75,478,-38.53,"Shunn Buchanan, New Mexico State",Shunn Buchanan,New Mexico State,-21.78
FR,SEC,-1.1,13,-1.65,"Zach Kent, Tennessee",Zach Kent,Tennessee,-2.75
SR,Sun Belt,-31.34,632,8.65,"Isaiah Williams, Georgia State",Isaiah Williams,Georgia State,-22.69
SO,Big South,-21.82,922,-1.45,"Donald Hicks, Radford",Donald Hicks,Radford,-23.27
,SWAC,-11.35,202,-12.08,"Jerry Perry, Texas Southern",Jerry Perry,Texas Southern,-23.43
FR,SEC,-3.12,589,-20.82,"TJ Starks, Texas A&M",TJ Starks,Texas A&M,-23.94
SR,SWAC,-20.25,532,-3.86,"Lamont Walker, Texas Southern",Lamont Walker,Texas Southern,-24.11
JR,MAC,-32.94,936,8.67,"Nick Perkins, Buffalo",Nick Perkins,Buffalo,-24.27
JR,Summit,3.25,300,-27.62,"Chris Howell, South Dakota State",Chris Howell,South Dakota State,-24.37
JR,Summit,-15.24,603,-10.88,"Brandon Key, South Dakota State",Brandon Key,South Dakota State,-26.12
JR,Big 12,8.42,145,-12.13,"Josh Webster, Texas Tech",Josh Webster,Texas Tech,-3.71
JR,SWAC,-17.64,263,-10.49,"Robert Lewis, Texas Southern",Robert Lewis,Texas Southern,-28.13
JR,SWAC,-44.36,979,15.97,"Derrick Bruce, Texas Southern",Derrick Bruce,Texas Southern,-28.39
JR,MEAC,-3.87,250,-24.94,"Raekwon Harney, North Carolina Central",Raekwon Harney,North Carolina Central,-28.81
JR,AAC,-0.39,28,-5.19,"Kaelen Malone, Wichita State",Kaelen Malone,Wichita State,-5.58
FR,Horizon,15.42,678,-45.09,"Everett Winchester, Wright State",Everett Winchester,Wright State,-29.67
JR,Sun Belt,11.46,335,-41.25,"Jordan Tyson, Georgia State",Jordan Tyson,Georgia State,-29.79
FR,Big 12,1.66,75,-9.22,"Malik Ondigo, Texas Tech",Malik Ondigo,Texas Tech,-7.56
SR,SWAC,-16.14,685,-14.9,"Marquis Salmon, Texas Southern",Marquis Salmon,Texas Southern,-31.04
SO,MEAC,-19.36,363,-12.49,"C.J. Wiggins, North Carolina Central",C.J. Wiggins,North Carolina Central,-31.85
SR,A-Sun,-2.48,258,-29.8,"George Brammeier, Lipscomb",George Brammeier,Lipscomb,-32.28
SO,A-Sun,20.42,816,-54.98,"Kenny Cooper, Lipscomb",Kenny Cooper,Lipscomb,-34.56
SO,Big South,0,506,-35.92,"Devonnte Holland, Radford",Devonnte Holland,Radford,-35.92
SO,A-10,-10.32,351,-26.72,"Josh Ayeni, St. Bonaventure",Josh Ayeni,St. Bonaventure,-37.04
SR,Big South,-17.16,351,-22.15,"Justin Cousin, Radford",Justin Cousin,Radford,-39.31
JR,MEAC,2.08,403,-41.59,"Brandon Goldsmith, North Carolina Central",Brandon Goldsmith,North Carolina Central,-39.51
SR,Big South,-9.44,748,-30.68,"Christian Bradford, Radford",Christian Bradford,Radford,-40.12
FR,SWAC,-23.81,398,-16.59,"Cainan McClelland, Texas Southern",Cainan McClelland,Texas Southern,-40.4
SR,MEAC,-10.56,361,-31.67,"Dominique Reid, North Carolina Central",Dominique Reid,North Carolina Central,-42.23
FR,Horizon,-5.17,738,-38.75,"Jaylon Hall, Wright State",Jaylon Hall,Wright State,-43.92
FR,A-Sun,-5.25,341,-38.73,"Greg Jones, Lipscomb",Greg Jones,Lipscomb,-43.98
JR,MEAC,-20.73,309,-31.36,"Alston Jones, North Carolina Central",Alston Jones,North Carolina Central,-52.09
SO,A-Sun,-12.15,263,-41.01,"Andrew Fleming, Lipscomb",Andrew Fleming,Lipscomb,-53.16
JR,MEAC,-23.82,554,-36.21,"Larry McKnight, North Carolina Central",Larry McKnight,North Carolina Central,-60.03
SR,SWAC,-55.94,1187,-4.3,"Donte Clark, Texas Southern",Donte Clark,Texas Southern,-60.24
SO,SWAC,-21.22,509,-43.36,"Brian Carey, Texas Southern",Brian Carey,Texas Southern,-64.58
FR,MEAC,-38.18,925,-36.59,"Jordan Perkins, North Carolina Central",Jordan Perkins,North Carolina Central,-74.77
,MEAC,-65.75,1006,-19.03,"Reginald Gardner, North Carolina Central",Reginald Gardner,North Carolina Central,-84.78
