Class,Conference,DPS,Minutes,OPA,Player Code,Player,School,TPA
SR,Big Ten,33.25,597,22.16,"Andrew Dakich, Ohio State",Andrew Dakich,Ohio State,55.41
SO,Big 12,41.17,864,48.8,"Lindy Waters, Oklahoma State",Lindy Waters,Oklahoma State,89.97
SO,SEC,-1.44,18,0.9,"Jonathan Holmes, Arkansas",Jonathan Holmes,Arkansas,-0.54
JR,Big 12,35.43,717,44.29,"Tavarius Shine, Oklahoma State",Tavarius Shine,Oklahoma State,79.72
,SEC,-0.69,15,-0.36,"Mak Krause, Florida",Mak Krause,Florida,-1.05
FR,ACC,46.58,1254,8.1,"Oshae Brissett, Syracuse",Oshae Brissett,Syracuse,54.68
SR,MVC,5.21,631,20.85,"Aundre Jackson, Loyola (IL)",Aundre Jackson,Loyola (IL),26.06
SR,Big Sky,47.02,813,7.12,"Fabijan Krslovic, Montana",Fabijan Krslovic,Montana,54.14
FR,ACC,-0.49,6,-1.28,"Will Miles, Florida State",Will Miles,Florida State,-1.77
SO,Pac-12,0.85,494,11.88,"Dylan Smith, Arizona",Dylan Smith,Arizona,12.73
