Player,Season,Age,Team,Points,Rebounds,Assists,Mins,FTA,Blocks,Fouls,3p%,FGA,2p%,ft%,Steals,Turnovers,Games,Games Started,FGM,3pa,3pm,ftm,orb,drb,FG%,EFG%,TS%
Ramon Sessions,2017-18,31,NYK,4.2,1.5,2.5,14.2,1.4,0.1,1.2,0.182,4.5,0.359,0.8,0.6,1.4,11,3,1.5,1,0.2,1.1,0.1,1.4,0.32,0.34,0.406
Rashad Vaughn,2017-18,21,MIL,3.5,0.9,0.8,10.1,0.4,0.2,0.8,0.364,3,0.533,0.667,0.3,0.1,16,0,1.3,2.1,0.8,0.3,0.1,0.9,0.417,0.542,0.553
Raul Neto,2017-18,25,UTA,4.9,1.4,1.9,13.3,0.8,0.1,0.8,0.455,4.1,0.479,0.615,0.4,0.7,17,0,1.9,1.3,0.6,0.5,0.1,1.2,0.471,0.543,0.555
Raymond Felton,2017-18,33,OKC,6.6,1.6,2.3,16.5,0.5,0.1,0.9,0.358,6.6,0.447,0.688,0.6,0.7,35,0,2.7,2.3,0.8,0.3,0.2,1.4,0.416,0.478,0.487
Reggie Bullock,2017-18,26,DET,5.6,1.5,0.8,19.3,0.4,0.2,0.8,0.326,4.8,0.644,0.571,0.9,0.2,19,10,2.3,2.4,0.8,0.2,0.4,1.2,0.484,0.566,0.569
Reggie Jackson,2017-18,27,DET,14.6,2.8,5.5,27.1,2.8,0.1,2.1,0.339,12.3,0.493,0.84,0.6,2.5,33,33,5.5,3.8,1.3,2.4,0.7,2.2,0.446,0.498,0.54
Richard Jefferson,2017-18,37,DEN,1.2,0.3,0.8,6.4,0.6,0,0.3,0.2,1.4,0.375,0.4,0,0,9,0,0.4,0.6,0.1,0.2,0,0.3,0.308,0.346,0.362
Richaun Holmes,2017-18,24,PHI,7.3,5,1.1,16.6,1.2,0.5,2.6,0.167,5.7,0.635,0.714,0.4,0.7,18,2,3.2,1,0.2,0.8,1.3,3.7,0.553,0.568,0.588
Ricky Rubio,2017-18,27,UTA,11.3,3.8,4.8,29,3,0.1,2.5,0.28,10,0.446,0.875,1.6,3,35,35,3.9,3.6,1,2.6,0.5,3.4,0.387,0.437,0.502
Robert Covington,2017-18,27,PHI,14.6,6.1,1.8,32.9,2,0.8,3.2,0.393,11.8,0.467,0.836,1.9,2,31,31,4.9,7.9,3.1,1.6,0.9,5.1,0.418,0.549,0.577
Robin Lopez,2017-18,29,CHI,12.8,5.3,2.1,29.3,1.6,0.9,2,0.286,11.2,0.52,0.75,0.3,1.7,34,34,5.8,0.2,0.1,1.2,2.6,2.7,0.516,0.518,0.539
Rodney Hood,2017-18,25,UTA,17.7,2.7,1.7,28.7,2.8,0.2,1.7,0.411,15,0.421,0.855,0.9,1.7,27,11,6.2,7,2.9,2.4,0.4,2.3,0.416,0.512,0.548
Ron Baker,2017-18,24,NYK,3.5,0.8,2.3,15.4,1.4,0.3,1.2,0.429,2.6,0.278,0.762,1.2,0.9,15,0,0.9,1.4,0.6,1.1,0.1,0.7,0.359,0.474,0.549
