X,Y,Prob,Low,High,,,Descriptives...,,,,,,,,
23.3,1,0.6996,0.6682,0.7292,,,,,,,,,,,
23.3,1,0.6996,0.6682,0.7292,,,,,,,,,,,
23.3,1,0.6996,0.6682,0.7292,,,,,,,,,,,
23.3,1,0.6996,0.6682,0.7292,,,,,,,,,,,
23.2,0,0.6908,0.6593,0.7206,,,,,,,,,,,
23.2,1,0.6908,0.6593,0.7206,,,,,,,,,,,
23.2,1,0.6908,0.6593,0.7206,,,,,,,,,,,
23.2,1,0.6908,0.6593,0.7206,,,,,,,,,,,
23.2,1,0.6908,0.6593,0.7206,,,,,,,,,,,
23.2,1,0.6908,0.6593,0.7206,,,,,,,,,,,
23.2,1,0.6908,0.6593,0.7206,,,,,,,,,,,
23.2,1,0.6908,0.6593,0.7206,,,,,,,,,,,
23.2,1,0.6908,0.6593,0.7206,,,,,,,,,,,
23.2,1,0.6908,0.6593,0.7206,,,,,,,,,,,
23.2,1,0.6908,0.6593,0.7206,,,,,,,,,,,
23.2,0,0.6908,0.6593,0.7206,,,,,,,,,,,
23.1,1,0.6818,0.6502,0.7118,,,,,,,,,,,
23.1,1,0.6818,0.6502,0.7118,,,,,,,,,,,
23.1,1,0.6818,0.6502,0.7118,,,,,,,,,,,
23.1,1,0.6818,0.6502,0.7118,,,,,,,,,,,
23.1,1,0.6818,0.6502,0.7118,,,,,,,,,,,
23.1,0,0.6818,0.6502,0.7118,,,,,,,,,,,
23,0,0.6727,0.6411,0.7028,,,,,,,,,,,
23,0,0.6727,0.6411,0.7028,,,,,,,,,,,
23,0,0.6727,0.6411,0.7028,,,,,,,,,,,
23,1,0.6727,0.6411,0.7028,,,,,,,,,,,
23,0,0.6727,0.6411,0.7028,,,,,,,,,,,
23,1,0.6727,0.6411,0.7028,,,,,,,,,,,
23,1,0.6727,0.6411,0.7028,,,,,,,,,,,
23,1,0.6727,0.6411,0.7028,,,,,,,,,,,
23,1,0.6727,0.6411,0.7028,,,,,,,,,,,
23,1,0.6727,0.6411,0.7028,,,,,,,,,,,
23,1,0.6727,0.6411,0.7028,,,,,,,,,,,
23,1,0.6727,0.6411,0.7028,,,,,,,,,,,
22.9,0,0.6634,0.6318,0.6936,,,,,,,,,,,
22.9,0,0.6634,0.6318,0.6936,,,,,,,,,,,
22.9,0,0.6634,0.6318,0.6936,,,,,,,,,,,
22.9,0,0.6634,0.6318,0.6936,,,,,,,,,,,
22.9,0,0.6634,0.6318,0.6936,,,,,,,,,,,
22.9,0,0.6634,0.6318,0.6936,,,,,,,,,,,
22.9,1,0.6634,0.6318,0.6936,,,,,,,,,,,
22.9,1,0.6634,0.6318,0.6936,,,,,,,,,,,
22.9,1,0.6634,0.6318,0.6936,,,,,,,,,,,
22.9,1,0.6634,0.6318,0.6936,,,,,,,,,,,
22.9,1,0.6634,0.6318,0.6936,,,,,,,,,,,
22.9,1,0.6634,0.6318,0.6936,,,,,,,,,,,
22.9,1,0.6634,0.6318,0.6936,,,,,,,,,,,
22.9,1,0.6634,0.6318,0.6936,,,,,,,,,,,
22.9,1,0.6634,0.6318,0.6936,,,,,,,,,,,
22.9,0,0.6634,0.6318,0.6936,,,,,,,,,,,
22.8,0,0.654,0.6224,0.6843,,,,,,,,,,,
22.8,0,0.654,0.6224,0.6843,,,,,,,,,,,
22.8,1,0.654,0.6224,0.6843,,,,,,,,,,,
22.8,1,0.654,0.6224,0.6843,,,,,,,,,,,
22.8,1,0.654,0.6224,0.6843,,,,,,,,,,,
22.8,1,0.654,0.6224,0.6843,,,,,,,,,,,
22.8,0,0.654,0.6224,0.6843,,,,,,,,,,,
22.7,0,0.6445,0.613,0.6749,,,,,,,,,,,
22.7,1,0.6445,0.613,0.6749,,,,,,,,,,,
22.7,1,0.6445,0.613,0.6749,,,,,,,,,,,
22.7,1,0.6445,0.613,0.6749,,,,,,,,,,,
22.7,1,0.6445,0.613,0.6749,,,,,,,,,,,
22.7,1,0.6445,0.613,0.6749,,,,,,,,,,,
22.7,0,0.6445,0.613,0.6749,,,,,,,,,,,
22.7,0,0.6445,0.613,0.6749,,,,,,,,,,,
22.7,0,0.6445,0.613,0.6749,,,,,,,,,,,
22.7,0,0.6445,0.613,0.6749,,,,,,,,,,,
22.6,0,0.6349,0.6034,0.6653,,,,,,,,,,,
22.6,0,0.6349,0.6034,0.6653,,,,,,,,,,,
22.6,0,0.6349,0.6034,0.6653,,,,,,,,,,,
22.6,0,0.6349,0.6034,0.6653,,,,,,,,,,,
22.6,1,0.6349,0.6034,0.6653,,,,,,,,,,,
22.6,1,0.6349,0.6034,0.6653,,,,,,,,,,,
22.6,1,0.6349,0.6034,0.6653,,,,,,,,,,,
22.6,1,0.6349,0.6034,0.6653,,,,,,,,,,,
22.6,1,0.6349,0.6034,0.6653,,,,,,,,,,,
22.6,1,0.6349,0.6034,0.6653,,,,,,,,,,,
22.6,0,0.6349,0.6034,0.6653,,,,,,,,,,,
22.6,0,0.6349,0.6034,0.6653,,,,,,,,,,,
22.5,0,0.6252,0.5938,0.6556,,,,,,,,,,,
22.5,0,0.6252,0.5938,0.6556,,,,,,,,,,,
22.5,0,0.6252,0.5938,0.6556,,,,,,,,,,,
22.5,0,0.6252,0.5938,0.6556,,,,,,,,,,,
22.5,0,0.6252,0.5938,0.6556,,,,,,,,,,,
22.5,1,0.6252,0.5938,0.6556,,,,,,,,,,,
22.5,1,0.6252,0.5938,0.6556,,,,,,,,,,,
22.5,1,0.6252,0.5938,0.6556,,,,,,,,,,,
22.5,1,0.6252,0.5938,0.6556,,,,,,,,,,,
22.5,1,0.6252,0.5938,0.6556,,,,,,,,,,,
22.5,1,0.6252,0.5938,0.6556,,,,,,,,,,,
22.5,1,0.6252,0.5938,0.6556,,,,,,,,,,,
22.5,1,0.6252,0.5938,0.6556,,,,,,,,,,,
22.5,1,0.6252,0.5938,0.6556,,,,,,,,,,,
22.5,1,0.6252,0.5938,0.6556,,,,,,,,,,,
22.4,0,0.6154,0.584,0.6458,,,,,,,,,,,
22.4,0,0.6154,0.584,0.6458,,,,,,,,,,,
22.4,0,0.6154,0.584,0.6458,,,,,,,,,,,
22.4,0,0.6154,0.584,0.6458,,,,,,,,,,,
22.4,1,0.6154,0.584,0.6458,,,,,,,,,,,
22.4,1,0.6154,0.584,0.6458,,,,,,,,,,,
22.4,1,0.6154,0.584,0.6458,,,,,,,,,,,
22.4,1,0.6154,0.584,0.6458,,,,,,,,,,,
22.4,1,0.6154,0.584,0.6458,,,,,,,,,,,
22.4,1,0.6154,0.584,0.6458,,,,,,,,,,,
22.4,1,0.6154,0.584,0.6458,,,,,,,,,,,
22.4,1,0.6154,0.584,0.6458,,,,,,,,,,,
22.4,0,0.6154,0.584,0.6458,,,,,,,,,,,
22.3,0,0.6054,0.5743,0.6358,,,,,,,,,,,
22.3,0,0.6054,0.5743,0.6358,,,,,,,,,,,
