Player,Season,Age,Points,Rebounds,Assists,Mins,FTA,Blocks,Fouls,3p%,FGA,2p%,FGM,ft%,Steals,Turnovers,EFG%,TS%,Games,3pa,Games Started
Larry Nance Jr.,2016-17,24,6.6,5.4,1.3,21.8,0.9,0.7,2.4,0.167,5.1,0.612,3,0.704,1.1,0.8,0.585,0.6,31,0.4,0
Shabazz Napier,2016-17,25,3.4,0.8,0.9,7.7,0.8,0,0.6,0.321,3,0.471,1.1,0.739,0.6,0.7,0.477,0.515,29,1.8,0
Maurice Ndour,2016-17,24,2.3,1.4,0.1,7.8,0.6,0.1,0.9,0,1.9,0.5,0.9,0.9,0.5,0.3,0.455,0.521,17,0.2,0
Gary Neal,2016-17,32,2,0.5,0.5,9,2,0,0.5,0,3.5,0,0,1,0,0,0,0.228,2,1,0
Jameer Nelson,2016-17,34,8.8,2.1,4.6,25.4,0.8,0.1,2.8,0.371,7.8,0.507,3.5,0.706,0.7,1.8,0.528,0.54,45,3.4,9
Raul Neto,2016-17,24,2.4,0.8,0.8,8,0.1,0,1,0.286,2.3,0.528,1,1,0.5,0.4,0.491,0.506,25,0.8,0
Georges Niang,2016-17,23,0.8,0.7,0.3,4.4,0.1,0,0.3,0.091,1.7,0.238,0.3,1,0.2,0.3,0.203,0.228,19,0.6,0
Andrew Nicholson,2016-17,27,2.8,1.3,0.3,8.8,0.4,0.2,1.4,0.188,3,0.466,1.2,0.6,0.4,0.4,0.426,0.44,25,0.6,0
Joakim Noah,2016-17,31,5.3,9.1,2.3,22.6,1.8,0.8,2.8,0,4.6,0.5,2.3,0.419,0.6,1.3,0.497,0.494,41,0,41
Nerlens Noel,2016-17,22,8.2,4.9,0.7,17.1,2,0.8,2.1,,5.6,0.594,3.3,0.75,1.1,0.9,0.594,0.629,18,0,2
Lucas Nogueira,2016-17,24,5.1,4.9,0.9,21.2,1.3,1.8,2.6,0.429,3.1,0.698,2.1,0.633,1,0.8,0.695,0.699,37,0.2,6
Steve Novak,2016-17,33,0.6,0.4,0,2.8,0,0,0.1,0.167,0.9,1,0.3,,0,0,0.357,0.357,8,0.8,0
Dirk Nowitzki,2016-17,38,13.3,5.8,1.5,24.9,2.4,0.7,2.1,0.337,12.4,0.433,5,0.851,0.5,0.9,0.457,0.497,20,4.2,20
Jusuf Nurkic,2016-17,22,8.6,6.1,1.3,18.5,2.6,0.8,2,,6.9,0.528,3.6,0.5,0.6,2,0.528,0.534,39,0,26
Kyle O'Quinn,2016-17,26,6,5.5,1.2,14.8,0.8,1.2,2.1,0,5,0.56,2.7,0.684,0.4,0.9,0.542,0.558,45,0.2,6
Daniel Ochefu,2016-17,23,1.3,1.3,0.1,3.9,0.2,0,0.9,,1.3,0.5,0.6,0,0.1,0.3,0.5,0.47,11,0,0
Jahlil Okafor,2016-17,21,11.2,4.8,1,23,2.8,1.1,2.5,,9,0.527,4.7,0.609,0.4,1.5,0.527,0.547,31,0,16
Victor Oladipo,2016-17,24,16.2,4.2,2.6,33.9,2.1,0.3,2.2,0.376,13.8,0.513,6.3,0.691,1.2,1.6,0.533,0.549,38,5.6,38
Kelly Olynyk,2016-17,25,8.4,4.3,2,20.8,1.5,0.4,2.5,0.364,6.5,0.566,3.1,0.733,0.7,1.3,0.557,0.583,39,2.8,5
Arinze Onuaku,2016-17,29,0.5,0.8,0.3,3.5,0,0.1,0.4,,0.5,0.5,0.3,,0,0.3,0.5,0.5,8,0,0
Chinanu Onuaku,2016-17,20,3,1.5,0.5,5,1,0,0.5,,1,1,1,1,0.5,0,1,1.042,2,0,0
