W-L%,PTS,SOS,Season
0.824,,8.92,1993-94* RF
0.824,,8.92,1993-94* RF
0.824,,8.92,1993-94* RF
0.824,,8.92,1993-94* RF
0.824,,8.92,1993-94* RF
0.824,,8.92,1993-94* RF
0.824,,8.92,1993-94* RF
0.824,,8.92,1993-94* RF
0.824,,8.92,1993-94* RF
0.824,,8.92,1993-94* RF
0.824,,8.92,1993-94* RF
0.824,,8.92,1993-94* RF
W-L%,PTS,SOS,Season
0.75,,10.76,1992-93*
0.75,,10.76,1992-93*
0.75,,10.76,1992-93*
0.75,,10.76,1992-93*
0.75,,10.76,1992-93*
0.75,,10.76,1992-93*
0.75,,10.76,1992-93*
0.75,,10.76,1992-93*
0.75,,10.76,1992-93*
0.75,,10.76,1992-93*
0.75,,10.76,1992-93*
0.75,,10.76,1992-93*
0.75,,10.76,1992-93*
0.75,,10.76,1992-93*
W-L%,PTS,SOS,Season
0.944,,10.18,1991-92* RTFN
0.944,,10.18,1991-92* RTFN
0.944,,10.18,1991-92* RTFN
0.944,,10.18,1991-92* RTFN
0.944,,10.18,1991-92* RTFN
0.944,,10.18,1991-92* RTFN
0.944,,10.18,1991-92* RTFN
0.944,,10.18,1991-92* RTFN
0.944,,10.18,1991-92* RTFN
0.944,,10.18,1991-92* RTFN
0.944,,10.18,1991-92* RTFN
0.944,,10.18,1991-92* RTFN
0.944,,10.18,1991-92* RTFN
0.944,,10.18,1991-92* RTFN
W-L%,PTS,SOS,Season
0.821,,10.62,1990-91* RFN
0.821,,10.62,1990-91* RFN
0.821,,10.62,1990-91* RFN
0.821,,10.62,1990-91* RFN
0.821,,10.62,1990-91* RFN
0.821,,10.62,1990-91* RFN
0.821,,10.62,1990-91* RFN
0.821,,10.62,1990-91* RFN
0.821,,10.62,1990-91* RFN
0.821,,10.62,1990-91* RFN
0.821,,10.62,1990-91* RFN
0.821,,10.62,1990-91* RFN
0.821,,10.62,1990-91* RFN
0.821,,10.62,1990-91* RFN
W-L%,PTS,SOS,Season
0.763,,8.81,1989-90* F
0.763,,8.81,1989-90* F
0.763,,8.81,1989-90* F
0.763,,8.81,1989-90* F
0.763,,8.81,1989-90* F
0.763,,8.81,1989-90* F
0.763,,8.81,1989-90* F
0.763,,8.81,1989-90* F
0.763,,8.81,1989-90* F
0.763,,8.81,1989-90* F
0.763,,8.81,1989-90* F
0.763,,8.81,1989-90* F
0.763,,8.81,1989-90* F
0.763,,8.81,1989-90* F
W-L%,PTS,SOS,Season
0.778,,8.19,1988-89* F
0.778,,8.19,1988-89* F
0.778,,8.19,1988-89* F
0.778,,8.19,1988-89* F
0.778,,8.19,1988-89* F
0.778,,8.19,1988-89* F
0.778,,8.19,1988-89* F
0.778,,8.19,1988-89* F
0.778,,8.19,1988-89* F
0.778,,8.19,1988-89* F
0.778,,8.19,1988-89* F
0.778,,8.19,1988-89* F
0.778,,8.19,1988-89* F
0.778,,8.19,1988-89* F
W-L%,PTS,SOS,Season
0.8,,8.38,1987-88* TF
0.8,,8.38,1987-88* TF
0.8,,8.38,1987-88* TF
0.8,,8.38,1987-88* TF
0.8,,8.38,1987-88* TF
0.8,,8.38,1987-88* TF
0.8,,8.38,1987-88* TF
0.8,,8.38,1987-88* TF
0.8,,8.38,1987-88* TF
0.8,,8.38,1987-88* TF
0.8,,8.38,1987-88* TF
0.8,,8.38,1987-88* TF
0.8,,8.38,1987-88* TF
0.8,,8.38,1987-88* TF
W-L%,PTS,SOS,Season
0.727,,7.16,1986-87*
0.727,,7.16,1986-87*
0.727,,7.16,1986-87*
0.727,,7.16,1986-87*
0.727,,7.16,1986-87*
0.727,,7.16,1986-87*
0.727,,7.16,1986-87*
0.727,,7.16,1986-87*
0.727,,7.16,1986-87*
0.727,,7.16,1986-87*
0.727,,7.16,1986-87*
0.727,,7.16,1986-87*
0.727,,7.16,1986-87*
0.727,,7.16,1986-87*
W-L%,PTS,SOS,Season
0.925,,9.5,1985-86* RTF
0.925,,9.5,1985-86* RTF
0.925,,9.5,1985-86* RTF
0.925,,9.5,1985-86* RTF
0.925,,9.5,1985-86* RTF
0.925,,9.5,1985-86* RTF
0.925,,9.5,1985-86* RTF
0.925,,9.5,1985-86* RTF
0.925,,9.5,1985-86* RTF
0.925,,9.5,1985-86* RTF
0.925,,9.5,1985-86* RTF
0.925,,9.5,1985-86* RTF
0.925,,9.5,1985-86* RTF
0.925,,9.5,1985-86* RTF
W-L%,PTS,SOS,Season
0.742,,7.38,1984-85*
0.742,,7.38,1984-85*
0.742,,7.38,1984-85*
0.742,,7.38,1984-85*
0.742,,7.38,1984-85*
0.742,,7.38,1984-85*
0.742,,7.38,1984-85*
0.742,,7.38,1984-85*
0.742,,7.38,1984-85*
0.742,,7.38,1984-85*
0.742,,7.38,1984-85*
0.742,,7.38,1984-85*
0.742,,7.38,1984-85*
0.742,,7.38,1984-85*
W-L%,PTS,SOS,Season
0.706,,6.92,1983-84*
0.706,,6.92,1983-84*
0.706,,6.92,1983-84*
0.706,,6.92,1983-84*
0.706,,6.92,1983-84*
0.706,,6.92,1983-84*
0.706,,6.92,1983-84*
0.706,,6.92,1983-84*
0.706,,6.92,1983-84*
0.706,,6.92,1983-84*
0.706,,6.92,1983-84*
0.706,,6.92,1983-84*
0.706,,6.92,1983-84*
0.706,,6.92,1983-84*
W-L%,PTS,SOS,Season
0.393,,6.42,1982-83
0.393,,6.42,1982-83
0.393,,6.42,1982-83
0.393,,6.42,1982-83
0.393,,6.42,1982-83
0.393,,6.42,1982-83
0.393,,6.42,1982-83
0.393,,6.42,1982-83
0.393,,6.42,1982-83
0.393,,6.42,1982-83
0.393,,6.42,1982-83
0.393,,6.42,1982-83
0.393,,6.42,1982-83
0.393,,6.42,1982-83
W-L%,PTS,SOS,Season
0.37,,7.17,1981-82
0.37,,7.17,1981-82
0.37,,7.17,1981-82
0.37,,7.17,1981-82
0.37,,7.17,1981-82
0.37,,7.17,1981-82
0.37,,7.17,1981-82
0.37,,7.17,1981-82
0.37,,7.17,1981-82
0.37,,7.17,1981-82
0.37,,7.17,1981-82
0.37,,7.17,1981-82
0.37,,7.17,1981-82
0.37,,7.17,1981-82
W-L%,PTS,SOS,Season
0.567,,7.11,1980-81
0.567,,7.11,1980-81
0.567,,7.11,1980-81
0.567,,7.11,1980-81
0.567,,7.11,1980-81
0.567,,7.11,1980-81
0.567,,7.11,1980-81
0.567,,7.11,1980-81
0.567,,7.11,1980-81
0.567,,7.11,1980-81
0.567,,7.11,1980-81
0.567,,7.11,1980-81
0.567,,7.11,1980-81
0.567,,7.11,1980-81
W-L%,PTS,SOS,Season
0.727,,8.25,1979-80* T
0.727,,8.25,1979-80* T
0.727,,8.25,1979-80* T
0.727,,8.25,1979-80* T
0.727,,8.25,1979-80* T
0.727,,8.25,1979-80* T
0.727,,8.25,1979-80* T
0.727,,8.25,1979-80* T
0.727,,8.25,1979-80* T
0.727,,8.25,1979-80* T
0.727,,8.25,1979-80* T
0.727,,8.25,1979-80* T
0.727,,8.25,1979-80* T
0.727,,8.25,1979-80* T
W-L%,PTS,SOS,Season
0.733,,8.99,1978-79* R
0.733,,8.99,1978-79* R
0.733,,8.99,1978-79* R
0.733,,8.99,1978-79* R
0.733,,8.99,1978-79* R
0.733,,8.99,1978-79* R
0.733,,8.99,1978-79* R
0.733,,8.99,1978-79* R
0.733,,8.99,1978-79* R
0.733,,8.99,1978-79* R
0.733,,8.99,1978-79* R
0.733,,8.99,1978-79* R
0.733,,8.99,1978-79* R
0.733,,8.99,1978-79* R
W-L%,PTS,SOS,Season
0.794,,7.87,1977-78* TF
0.794,,7.87,1977-78* TF
0.794,,7.87,1977-78* TF
0.794,,7.87,1977-78* TF
0.794,,7.87,1977-78* TF
0.794,,7.87,1977-78* TF
0.794,,7.87,1977-78* TF
0.794,,7.87,1977-78* TF
0.794,,7.87,1977-78* TF
0.794,,7.87,1977-78* TF
0.794,,7.87,1977-78* TF
0.794,,7.87,1977-78* TF
0.794,,7.87,1977-78* TF
0.794,,7.87,1977-78* TF
W-L%,PTS,SOS,Season
0.519,,7.95,1976-77
0.519,,7.95,1976-77
0.519,,7.95,1976-77
0.519,,7.95,1976-77
